Event ID,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt
3160,5,Firearms,5,Unknown Gun Type,,
3161,5,Firearms,5,Unknown Gun Type,,
3162,5,Firearms,5,Unknown Gun Type,,
3163,6,Explosives,17,Other Explosive Type,,
3164,6,Explosives,16,Unknown Explosive Type,,
3165,5,Firearms,5,Unknown Gun Type,,
3166,13,Unknown,,,,
3167,5,Firearms,5,Unknown Gun Type,9,Melee
3168,13,Unknown,,,,
3169,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3170,5,Firearms,5,Unknown Gun Type,,
3171,6,Explosives,12,Remote Trigger,,
3172,6,Explosives,16,Unknown Explosive Type,,
3173,6,Explosives,17,Other Explosive Type,,
3174,6,Explosives,8,Landmine,,
3175,5,Firearms,5,Unknown Gun Type,,
3176,9,Melee,23,Knife or Other Sharp Object,,
3177,9,Melee,27,Unknown Weapon Type,,
3178,6,Explosives,12,Remote Trigger,,
3179,6,Explosives,15,Vehicle,,
3180,6,Explosives,16,Unknown Explosive Type,,
3181,6,Explosives,15,Vehicle,,
3182,13,Unknown,,,,
3183,13,Unknown,,,,
3184,5,Firearms,5,Unknown Gun Type,,
3185,6,Explosives,15,Vehicle,6,Explosives
3186,13,Unknown,,,,
3187,5,Firearms,5,Unknown Gun Type,,
3188,6,Explosives,16,Unknown Explosive Type,,
3189,6,Explosives,16,Unknown Explosive Type,,
3190,6,Explosives,16,Unknown Explosive Type,,
3191,6,Explosives,16,Unknown Explosive Type,,
3192,6,Explosives,29,Sticky Bomb,,
3193,6,Explosives,16,Unknown Explosive Type,,
3194,12,Other,,,,
3195,9,Melee,23,Knife or Other Sharp Object,9,Melee
3196,6,Explosives,16,Unknown Explosive Type,,
3197,6,Explosives,15,Vehicle,6,Explosives
3198,13,Unknown,,,,
3199,13,Unknown,,,,
3200,13,Unknown,,,,
3201,6,Explosives,29,Sticky Bomb,,
3202,5,Firearms,5,Unknown Gun Type,,
3203,6,Explosives,17,Other Explosive Type,,
3204,5,Firearms,5,Unknown Gun Type,,
3205,9,Melee,23,Knife or Other Sharp Object,,
3206,5,Firearms,3,Handgun,,
3207,5,Firearms,5,Unknown Gun Type,,
3208,5,Firearms,5,Unknown Gun Type,,
3209,6,Explosives,7,Grenade,,
3210,13,Unknown,,,,
3211,6,Explosives,15,Vehicle,,
3212,6,Explosives,16,Unknown Explosive Type,,
3213,6,Explosives,16,Unknown Explosive Type,,
3214,6,Explosives,16,Unknown Explosive Type,,
3215,6,Explosives,16,Unknown Explosive Type,,
3216,6,Explosives,16,Unknown Explosive Type,,
3217,6,Explosives,16,Unknown Explosive Type,,
3218,6,Explosives,16,Unknown Explosive Type,,
3219,5,Firearms,5,Unknown Gun Type,,
3220,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3221,6,Explosives,7,Grenade,,
3222,6,Explosives,7,Grenade,,
3223,9,Melee,23,Knife or Other Sharp Object,,
3224,5,Firearms,5,Unknown Gun Type,,
3225,5,Firearms,5,Unknown Gun Type,,
3226,6,Explosives,16,Unknown Explosive Type,,
3227,6,Explosives,12,Remote Trigger,,
3228,6,Explosives,15,Vehicle,5,Firearms
3229,6,Explosives,7,Grenade,,
3230,6,Explosives,29,Sticky Bomb,,
3231,6,Explosives,16,Unknown Explosive Type,,
3232,6,Explosives,16,Unknown Explosive Type,,
3233,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
3234,6,Explosives,17,Other Explosive Type,,
3235,5,Firearms,5,Unknown Gun Type,,
3236,6,Explosives,16,Unknown Explosive Type,,
3237,6,Explosives,13,Suicide (carried bodily by human being),,
3238,9,Melee,23,Knife or Other Sharp Object,9,Melee
3239,13,Unknown,,,,
3240,13,Unknown,,,,
3241,5,Firearms,5,Unknown Gun Type,,
3242,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
3243,5,Firearms,5,Unknown Gun Type,,
3244,13,Unknown,,,,
3245,5,Firearms,5,Unknown Gun Type,,
3246,13,Unknown,,,,
3247,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3248,6,Explosives,16,Unknown Explosive Type,,
3249,6,Explosives,16,Unknown Explosive Type,,
3250,6,Explosives,16,Unknown Explosive Type,,
3251,5,Firearms,5,Unknown Gun Type,,
3252,5,Firearms,5,Unknown Gun Type,,
3253,5,Firearms,5,Unknown Gun Type,,
3254,6,Explosives,29,Sticky Bomb,,
3255,13,Unknown,,,,
3256,5,Firearms,5,Unknown Gun Type,,
3257,6,Explosives,15,Vehicle,,
3258,6,Explosives,13,Suicide (carried bodily by human being),,
3259,6,Explosives,13,Suicide (carried bodily by human being),,
3260,5,Firearms,5,Unknown Gun Type,,
3261,6,Explosives,13,Suicide (carried bodily by human being),,
3262,6,Explosives,15,Vehicle,,
3263,6,Explosives,16,Unknown Explosive Type,,
3264,6,Explosives,15,Vehicle,6,Explosives
3265,6,Explosives,13,Suicide (carried bodily by human being),,
3266,6,Explosives,17,Other Explosive Type,,
3267,13,Unknown,,,,
3268,5,Firearms,5,Unknown Gun Type,,
3269,6,Explosives,8,Landmine,,
3270,13,Unknown,,,,
3271,13,Unknown,,,,
3272,6,Explosives,7,Grenade,,
3273,6,Explosives,13,Suicide (carried bodily by human being),,
3274,13,Unknown,,,,
3275,13,Unknown,,,,
3276,6,Explosives,15,Vehicle,,
3277,6,Explosives,16,Unknown Explosive Type,,
3278,6,Explosives,16,Unknown Explosive Type,,
3279,6,Explosives,16,Unknown Explosive Type,,
3280,6,Explosives,16,Unknown Explosive Type,,
3281,6,Explosives,16,Unknown Explosive Type,,
3282,5,Firearms,5,Unknown Gun Type,,
3283,6,Explosives,13,Suicide (carried bodily by human being),,
3284,6,Explosives,7,Grenade,,
3285,6,Explosives,16,Unknown Explosive Type,5,Firearms
3286,5,Firearms,5,Unknown Gun Type,,
3287,8,Incendiary,18,Arson/Fire,,
3288,6,Explosives,8,Landmine,,
3289,6,Explosives,17,Other Explosive Type,,
3290,13,Unknown,,,,
3291,13,Unknown,,,,
3292,13,Unknown,,,,
3293,13,Unknown,,,,
3294,13,Unknown,,,,
3295,5,Firearms,5,Unknown Gun Type,,
3296,5,Firearms,5,Unknown Gun Type,,
3297,5,Firearms,5,Unknown Gun Type,,
3298,5,Firearms,5,Unknown Gun Type,,
3299,5,Firearms,5,Unknown Gun Type,,
3300,6,Explosives,14,Time Fuse,,
3301,6,Explosives,13,Suicide (carried bodily by human being),,
3302,6,Explosives,16,Unknown Explosive Type,,
3303,13,Unknown,,,,
3304,6,Explosives,16,Unknown Explosive Type,,
3305,13,Unknown,,,,
3306,13,Unknown,,,,
3307,13,Unknown,,,,
3308,6,Explosives,16,Unknown Explosive Type,,
3309,6,Explosives,16,Unknown Explosive Type,,
3310,6,Explosives,16,Unknown Explosive Type,,
3311,13,Unknown,,,,
3312,13,Unknown,,,,
3313,6,Explosives,12,Remote Trigger,,
3314,5,Firearms,5,Unknown Gun Type,,
3315,6,Explosives,17,Other Explosive Type,,
3316,5,Firearms,5,Unknown Gun Type,,
3317,6,Explosives,16,Unknown Explosive Type,,
3318,5,Firearms,5,Unknown Gun Type,,
3319,6,Explosives,16,Unknown Explosive Type,,
3320,5,Firearms,3,Handgun,,
3321,6,Explosives,8,Landmine,,
3322,8,Incendiary,18,Arson/Fire,13,Unknown
3323,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
3324,6,Explosives,8,Landmine,,
3325,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3326,6,Explosives,16,Unknown Explosive Type,,
3327,6,Explosives,16,Unknown Explosive Type,,
3328,5,Firearms,3,Handgun,,
3329,5,Firearms,5,Unknown Gun Type,,
3330,6,Explosives,16,Unknown Explosive Type,,
3331,6,Explosives,16,Unknown Explosive Type,,
3332,6,Explosives,16,Unknown Explosive Type,,
3333,6,Explosives,16,Unknown Explosive Type,,
3334,6,Explosives,16,Unknown Explosive Type,,
3335,6,Explosives,16,Unknown Explosive Type,,
3336,6,Explosives,13,Suicide (carried bodily by human being),,
3337,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3338,6,Explosives,15,Vehicle,,
3339,6,Explosives,15,Vehicle,,
3340,6,Explosives,8,Landmine,,
3341,6,Explosives,16,Unknown Explosive Type,,
3342,5,Firearms,5,Unknown Gun Type,8,Incendiary
3343,6,Explosives,16,Unknown Explosive Type,,
3344,5,Firearms,5,Unknown Gun Type,,
3345,5,Firearms,5,Unknown Gun Type,,
3346,6,Explosives,15,Vehicle,,
3347,5,Firearms,5,Unknown Gun Type,,
3348,13,Unknown,,,,
3349,13,Unknown,,,,
3350,5,Firearms,2,Automatic or Semi-Automatic Rifle,8,Incendiary
3351,6,Explosives,16,Unknown Explosive Type,,
3352,5,Firearms,3,Handgun,,
3353,6,Explosives,16,Unknown Explosive Type,,
3354,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
3355,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
3356,6,Explosives,16,Unknown Explosive Type,,
3357,6,Explosives,16,Unknown Explosive Type,,
3358,9,Melee,23,Knife or Other Sharp Object,,
3359,6,Explosives,12,Remote Trigger,,
3360,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3361,6,Explosives,15,Vehicle,,
3362,6,Explosives,16,Unknown Explosive Type,,
3363,6,Explosives,13,Suicide (carried bodily by human being),,
3364,5,Firearms,5,Unknown Gun Type,,
3365,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
3366,6,Explosives,8,Landmine,,
3367,6,Explosives,17,Other Explosive Type,,
3368,5,Firearms,5,Unknown Gun Type,,
3369,13,Unknown,,,,
3370,5,Firearms,5,Unknown Gun Type,,
3371,6,Explosives,17,Other Explosive Type,,
3372,6,Explosives,8,Landmine,,
3373,13,Unknown,,,,
3374,13,Unknown,,,,
3375,6,Explosives,17,Other Explosive Type,,
3376,6,Explosives,7,Grenade,,
3377,5,Firearms,5,Unknown Gun Type,,
3378,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",5,Firearms
3379,6,Explosives,16,Unknown Explosive Type,,
3380,13,Unknown,,,,
3381,6,Explosives,15,Vehicle,,
3382,13,Unknown,,,,
3383,6,Explosives,13,Suicide (carried bodily by human being),,
3384,6,Explosives,16,Unknown Explosive Type,,
3385,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3386,5,Firearms,5,Unknown Gun Type,,
3387,6,Explosives,16,Unknown Explosive Type,,
3388,6,Explosives,16,Unknown Explosive Type,,
3389,6,Explosives,16,Unknown Explosive Type,,
3390,6,Explosives,16,Unknown Explosive Type,,
3391,6,Explosives,16,Unknown Explosive Type,,
3392,5,Firearms,5,Unknown Gun Type,,
3393,5,Firearms,5,Unknown Gun Type,,
3394,6,Explosives,16,Unknown Explosive Type,,
3395,6,Explosives,15,Vehicle,,
3396,6,Explosives,16,Unknown Explosive Type,,
3397,6,Explosives,16,Unknown Explosive Type,,
3398,6,Explosives,16,Unknown Explosive Type,,
3399,6,Explosives,16,Unknown Explosive Type,,
3400,6,Explosives,8,Landmine,5,Firearms
3401,6,Explosives,8,Landmine,,
3402,13,Unknown,,,,
3403,13,Unknown,,,,
3404,6,Explosives,15,Vehicle,,
3405,5,Firearms,5,Unknown Gun Type,,
3406,5,Firearms,5,Unknown Gun Type,,
3407,6,Explosives,16,Unknown Explosive Type,,
3408,13,Unknown,,,,
3409,5,Firearms,3,Handgun,,
3410,5,Firearms,5,Unknown Gun Type,,
3411,5,Firearms,5,Unknown Gun Type,,
3412,13,Unknown,,,,
3413,6,Explosives,16,Unknown Explosive Type,5,Firearms
3414,5,Firearms,5,Unknown Gun Type,,
3415,5,Firearms,5,Unknown Gun Type,,
3416,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3417,6,Explosives,16,Unknown Explosive Type,,
3418,6,Explosives,7,Grenade,5,Firearms
3419,6,Explosives,16,Unknown Explosive Type,,
3420,5,Firearms,5,Unknown Gun Type,,
3421,13,Unknown,,,,
3422,6,Explosives,16,Unknown Explosive Type,,
3423,6,Explosives,7,Grenade,5,Firearms
3424,6,Explosives,7,Grenade,,
3425,8,Incendiary,18,Arson/Fire,,
3426,5,Firearms,5,Unknown Gun Type,,
3427,5,Firearms,5,Unknown Gun Type,,
3428,6,Explosives,15,Vehicle,,
3429,6,Explosives,13,Suicide (carried bodily by human being),,
3430,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3431,6,Explosives,15,Vehicle,,
3432,6,Explosives,16,Unknown Explosive Type,,
3433,6,Explosives,31,Pipe Bomb,,
3434,6,Explosives,16,Unknown Explosive Type,,
3435,6,Explosives,7,Grenade,,
3436,6,Explosives,16,Unknown Explosive Type,,
3437,6,Explosives,15,Vehicle,,
3438,6,Explosives,16,Unknown Explosive Type,,
3439,6,Explosives,16,Unknown Explosive Type,,
3440,6,Explosives,16,Unknown Explosive Type,,
3441,6,Explosives,16,Unknown Explosive Type,,
3442,13,Unknown,,,,
3443,6,Explosives,7,Grenade,,
3444,6,Explosives,15,Vehicle,,
3445,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3446,5,Firearms,5,Unknown Gun Type,,
3447,5,Firearms,5,Unknown Gun Type,,
3448,6,Explosives,7,Grenade,,
3449,5,Firearms,2,Automatic or Semi-Automatic Rifle,8,Incendiary
3450,8,Incendiary,18,Arson/Fire,,
3451,6,Explosives,16,Unknown Explosive Type,,
3452,6,Explosives,7,Grenade,5,Firearms
3453,6,Explosives,16,Unknown Explosive Type,,
3454,13,Unknown,,,,
3455,13,Unknown,,,,
3456,13,Unknown,,,,
3457,5,Firearms,5,Unknown Gun Type,,
3458,5,Firearms,5,Unknown Gun Type,,
3459,6,Explosives,7,Grenade,,
3460,5,Firearms,5,Unknown Gun Type,,
3461,6,Explosives,16,Unknown Explosive Type,,
3462,13,Unknown,,,,
3463,13,Unknown,,,,
3464,13,Unknown,,,,
3465,6,Explosives,7,Grenade,,
3466,6,Explosives,16,Unknown Explosive Type,,
3467,6,Explosives,16,Unknown Explosive Type,,
3468,6,Explosives,15,Vehicle,,
3469,6,Explosives,15,Vehicle,6,Explosives
3470,6,Explosives,16,Unknown Explosive Type,,
3471,6,Explosives,16,Unknown Explosive Type,,
3472,6,Explosives,13,Suicide (carried bodily by human being),,
3473,6,Explosives,17,Other Explosive Type,,
3474,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",5,Firearms
3475,5,Firearms,5,Unknown Gun Type,,
3476,5,Firearms,5,Unknown Gun Type,,
3477,13,Unknown,,,,
3478,6,Explosives,7,Grenade,,
3479,6,Explosives,15,Vehicle,6,Explosives
3480,6,Explosives,15,Vehicle,,
3481,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3482,6,Explosives,16,Unknown Explosive Type,,
3483,13,Unknown,,,,
3484,6,Explosives,16,Unknown Explosive Type,,
3485,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,
3486,8,Incendiary,18,Arson/Fire,9,Melee
3487,6,Explosives,17,Other Explosive Type,,
3488,8,Incendiary,18,Arson/Fire,,
3489,5,Firearms,4,Rifle/Shotgun (non-automatic),8,Incendiary
3490,6,Explosives,16,Unknown Explosive Type,,
3491,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3492,5,Firearms,5,Unknown Gun Type,,
3493,6,Explosives,15,Vehicle,,
3494,6,Explosives,16,Unknown Explosive Type,,
3495,6,Explosives,16,Unknown Explosive Type,,
3496,6,Explosives,16,Unknown Explosive Type,,
3497,6,Explosives,13,Suicide (carried bodily by human being),,
3498,6,Explosives,15,Vehicle,,
3499,6,Explosives,7,Grenade,5,Firearms
3500,6,Explosives,16,Unknown Explosive Type,,
3501,6,Explosives,16,Unknown Explosive Type,,
3502,6,Explosives,13,Suicide (carried bodily by human being),,
3503,13,Unknown,,,,
3504,13,Unknown,,,,
3505,13,Unknown,,,,
3506,6,Explosives,16,Unknown Explosive Type,,
3507,6,Explosives,16,Unknown Explosive Type,,
3508,6,Explosives,16,Unknown Explosive Type,,
3509,6,Explosives,8,Landmine,,
3510,5,Firearms,5,Unknown Gun Type,,
3511,6,Explosives,16,Unknown Explosive Type,,
3512,5,Firearms,3,Handgun,,
3513,5,Firearms,5,Unknown Gun Type,,
3514,6,Explosives,16,Unknown Explosive Type,,
3515,6,Explosives,16,Unknown Explosive Type,,
3516,6,Explosives,16,Unknown Explosive Type,,
3517,5,Firearms,5,Unknown Gun Type,,
3518,5,Firearms,5,Unknown Gun Type,,
3519,5,Firearms,5,Unknown Gun Type,,
3520,5,Firearms,5,Unknown Gun Type,,
3521,13,Unknown,,,,
3522,13,Unknown,,,,
3523,5,Firearms,5,Unknown Gun Type,,
3524,5,Firearms,5,Unknown Gun Type,,
3525,5,Firearms,5,Unknown Gun Type,,
3526,6,Explosives,16,Unknown Explosive Type,,
3527,6,Explosives,15,Vehicle,,
3528,13,Unknown,,,,
3529,6,Explosives,12,Remote Trigger,,
3530,13,Unknown,,,,
3531,13,Unknown,,,,
3532,5,Firearms,5,Unknown Gun Type,,
3533,6,Explosives,16,Unknown Explosive Type,5,Firearms
3534,12,Other,,,,
3535,13,Unknown,,,,
3536,13,Unknown,,,,
3537,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3538,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3539,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3540,5,Firearms,5,Unknown Gun Type,,
3541,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3542,8,Incendiary,18,Arson/Fire,,
3543,6,Explosives,16,Unknown Explosive Type,5,Firearms
3544,5,Firearms,5,Unknown Gun Type,,
3545,6,Explosives,16,Unknown Explosive Type,,
3546,6,Explosives,7,Grenade,,
3547,6,Explosives,7,Grenade,5,Firearms
3548,9,Melee,23,Knife or Other Sharp Object,,
3549,9,Melee,23,Knife or Other Sharp Object,,
3550,5,Firearms,4,Rifle/Shotgun (non-automatic),,
3551,13,Unknown,,,,
3552,5,Firearms,5,Unknown Gun Type,,
3553,5,Firearms,2,Automatic or Semi-Automatic Rifle,5,Firearms
3554,9,Melee,23,Knife or Other Sharp Object,,
3555,5,Firearms,5,Unknown Gun Type,,
3556,8,Incendiary,18,Arson/Fire,,
3557,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3558,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3559,5,Firearms,5,Unknown Gun Type,,
3560,6,Explosives,15,Vehicle,,
3561,6,Explosives,16,Unknown Explosive Type,,
3562,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3563,6,Explosives,7,Grenade,,
3564,6,Explosives,13,Suicide (carried bodily by human being),,
3565,6,Explosives,17,Other Explosive Type,,
3566,6,Explosives,16,Unknown Explosive Type,,
3567,5,Firearms,5,Unknown Gun Type,,
3568,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",5,Firearms
3569,6,Explosives,13,Suicide (carried bodily by human being),,
3570,6,Explosives,15,Vehicle,,
3571,13,Unknown,,,,
3572,6,Explosives,15,Vehicle,,
3573,6,Explosives,15,Vehicle,6,Explosives
3574,13,Unknown,,,,
3575,13,Unknown,,,,
3576,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3577,6,Explosives,15,Vehicle,,
3578,13,Unknown,,,,
3579,6,Explosives,7,Grenade,,
3580,6,Explosives,13,Suicide (carried bodily by human being),,
3581,6,Explosives,8,Landmine,,
3582,6,Explosives,15,Vehicle,,
3583,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3584,5,Firearms,4,Rifle/Shotgun (non-automatic),,
3585,13,Unknown,,,,
3586,6,Explosives,16,Unknown Explosive Type,,
3587,5,Firearms,5,Unknown Gun Type,,
3588,6,Explosives,15,Vehicle,,
3589,6,Explosives,8,Landmine,,
3590,5,Firearms,5,Unknown Gun Type,,
3591,6,Explosives,7,Grenade,,
3592,6,Explosives,7,Grenade,,
3593,6,Explosives,7,Grenade,,
3594,5,Firearms,3,Handgun,,
3595,5,Firearms,5,Unknown Gun Type,,
3596,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3597,6,Explosives,16,Unknown Explosive Type,,
3598,6,Explosives,8,Landmine,,
3599,5,Firearms,5,Unknown Gun Type,9,Melee
3600,6,Explosives,15,Vehicle,,
3601,5,Firearms,5,Unknown Gun Type,,
3602,5,Firearms,5,Unknown Gun Type,,
3603,5,Firearms,5,Unknown Gun Type,,
3604,5,Firearms,5,Unknown Gun Type,,
3605,6,Explosives,16,Unknown Explosive Type,5,Firearms
3606,6,Explosives,16,Unknown Explosive Type,5,Firearms
3607,6,Explosives,16,Unknown Explosive Type,5,Firearms
3608,6,Explosives,16,Unknown Explosive Type,5,Firearms
3609,6,Explosives,16,Unknown Explosive Type,5,Firearms
3610,6,Explosives,16,Unknown Explosive Type,5,Firearms
3611,6,Explosives,16,Unknown Explosive Type,5,Firearms
3612,6,Explosives,16,Unknown Explosive Type,5,Firearms
3613,6,Explosives,16,Unknown Explosive Type,5,Firearms
3614,6,Explosives,16,Unknown Explosive Type,5,Firearms
3615,6,Explosives,16,Unknown Explosive Type,5,Firearms
3616,8,Incendiary,18,Arson/Fire,,
3617,5,Firearms,5,Unknown Gun Type,8,Incendiary
3618,13,Unknown,,,,
3619,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3620,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3621,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3622,13,Unknown,,,,
3623,5,Firearms,5,Unknown Gun Type,,
3624,6,Explosives,15,Vehicle,,
3625,6,Explosives,16,Unknown Explosive Type,,
3626,6,Explosives,13,Suicide (carried bodily by human being),,
3627,6,Explosives,16,Unknown Explosive Type,,
3628,6,Explosives,12,Remote Trigger,,
3629,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3630,6,Explosives,15,Vehicle,6,Explosives
3631,6,Explosives,13,Suicide (carried bodily by human being),,
3632,6,Explosives,15,Vehicle,,
3633,5,Firearms,5,Unknown Gun Type,,
3634,6,Explosives,12,Remote Trigger,,
3635,6,Explosives,16,Unknown Explosive Type,,
3636,6,Explosives,16,Unknown Explosive Type,,
3637,13,Unknown,,,,
3638,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3639,13,Unknown,,,,
3640,5,Firearms,5,Unknown Gun Type,,
3641,6,Explosives,15,Vehicle,,
3642,13,Unknown,,,,
3643,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3644,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3645,5,Firearms,5,Unknown Gun Type,,
3646,5,Firearms,5,Unknown Gun Type,,
3647,5,Firearms,4,Rifle/Shotgun (non-automatic),5,Firearms
3648,13,Unknown,,,,
3649,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3650,9,Melee,21,Blunt Object,,
3651,9,Melee,27,Unknown Weapon Type,,
3652,6,Explosives,16,Unknown Explosive Type,,
3653,6,Explosives,16,Unknown Explosive Type,,
3654,6,Explosives,16,Unknown Explosive Type,,
3655,8,Incendiary,18,Arson/Fire,,
3656,6,Explosives,13,Suicide (carried bodily by human being),,
3657,8,Incendiary,18,Arson/Fire,,
3658,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3659,6,Explosives,16,Unknown Explosive Type,,
3660,6,Explosives,16,Unknown Explosive Type,,
3661,6,Explosives,16,Unknown Explosive Type,,
3662,6,Explosives,16,Unknown Explosive Type,,
3663,6,Explosives,29,Sticky Bomb,,
3664,9,Melee,22,"Hands, Feet, Fists",,
3665,6,Explosives,15,Vehicle,2,Chemical
3666,9,Melee,23,Knife or Other Sharp Object,,
3667,13,Unknown,,,,
3668,5,Firearms,5,Unknown Gun Type,,
3669,6,Explosives,16,Unknown Explosive Type,,
3670,5,Firearms,4,Rifle/Shotgun (non-automatic),,
3671,5,Firearms,5,Unknown Gun Type,,
3672,6,Explosives,13,Suicide (carried bodily by human being),,
3673,13,Unknown,,,,
3674,13,Unknown,,,,
3675,13,Unknown,,,,
3676,5,Firearms,5,Unknown Gun Type,9,Melee
3677,6,Explosives,12,Remote Trigger,,
3678,5,Firearms,4,Rifle/Shotgun (non-automatic),,
3679,6,Explosives,8,Landmine,,
3680,6,Explosives,17,Other Explosive Type,,
3681,5,Firearms,5,Unknown Gun Type,,
3682,5,Firearms,5,Unknown Gun Type,,
3683,5,Firearms,4,Rifle/Shotgun (non-automatic),,
3684,5,Firearms,4,Rifle/Shotgun (non-automatic),,
3685,13,Unknown,,,,
3686,5,Firearms,5,Unknown Gun Type,,
3687,6,Explosives,16,Unknown Explosive Type,,
3688,13,Unknown,,,,
3689,5,Firearms,5,Unknown Gun Type,,
3690,6,Explosives,31,Pipe Bomb,6,Explosives
3691,5,Firearms,5,Unknown Gun Type,,
3692,6,Explosives,8,Landmine,6,Explosives
3693,6,Explosives,8,Landmine,6,Explosives
3694,6,Explosives,8,Landmine,6,Explosives
3695,6,Explosives,8,Landmine,6,Explosives
3696,6,Explosives,8,Landmine,6,Explosives
3697,8,Incendiary,18,Arson/Fire,,
3698,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3699,13,Unknown,,,,
3700,9,Melee,27,Unknown Weapon Type,,
3701,5,Firearms,5,Unknown Gun Type,,
3702,6,Explosives,17,Other Explosive Type,,
3703,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3704,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3705,6,Explosives,16,Unknown Explosive Type,,
3706,6,Explosives,16,Unknown Explosive Type,,
3707,6,Explosives,16,Unknown Explosive Type,,
3708,6,Explosives,16,Unknown Explosive Type,,
3709,6,Explosives,16,Unknown Explosive Type,,
3710,6,Explosives,16,Unknown Explosive Type,,
3711,6,Explosives,15,Vehicle,,
3712,6,Explosives,15,Vehicle,2,Chemical
3713,6,Explosives,7,Grenade,5,Firearms
3714,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3715,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3716,5,Firearms,5,Unknown Gun Type,,
3717,5,Firearms,5,Unknown Gun Type,,
3718,6,Explosives,12,Remote Trigger,,
3719,6,Explosives,12,Remote Trigger,,
3720,6,Explosives,16,Unknown Explosive Type,5,Firearms
3721,5,Firearms,5,Unknown Gun Type,,
3722,5,Firearms,2,Automatic or Semi-Automatic Rifle,,
3723,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,
3724,5,Firearms,5,Unknown Gun Type,8,Incendiary
3725,5,Firearms,5,Unknown Gun Type,8,Incendiary
3726,6,Explosives,16,Unknown Explosive Type,,
3727,13,Unknown,,,,
3728,6,Explosives,8,Landmine,5,Firearms
3729,6,Explosives,8,Landmine,,
3730,2,Chemical,30,Explosive,,
3731,6,Explosives,14,Time Fuse,,
3732,6,Explosives,13,Suicide (carried bodily by human being),,
3733,6,Explosives,13,Suicide (carried bodily by human being),,
3734,6,Explosives,16,Unknown Explosive Type,,
3735,6,Explosives,16,Unknown Explosive Type,,
3736,6,Explosives,16,Unknown Explosive Type,,
3737,6,Explosives,29,Sticky Bomb,,
3738,6,Explosives,16,Unknown Explosive Type,,
3739,6,Explosives,16,Unknown Explosive Type,,
3740,6,Explosives,16,Unknown Explosive Type,,
3741,6,Explosives,17,Other Explosive Type,,
3742,6,Explosives,17,Other Explosive Type,,
3743,6,Explosives,17,Other Explosive Type,,
3744,13,Unknown,,,,
3745,5,Firearms,5,Unknown Gun Type,,
3746,5,Firearms,5,Unknown Gun Type,,
